ref	pos	strand	u	d	ur	pval	passed
ENST00000387314.1	48	+	154	236	0.652542372881356	0.0	true
ENST00000386347.1	50	+	25	383	0.06527415143603134	1.1560089902958924e-26	true
ENST00000387365.1	22	-	0	51	0.0	1.0	false
ENST00000387377.1	31	+	59	242	0.24380165289256198	3.2896991793520474e-96	true
ENST00000387405.1	3	+	1	43	0.023255813953488372	0.10625128240553819	false
ENST00000387409.1	43	+	99	421	0.23515439429928742	1.7961827827129787e-158	true
ENST00000387441.1	44	+	308	374	0.8235294117647058	0.0	true
ENST00000387449.1	33	+	168	199	0.8442211055276382	0.0	true
ENST00000387449.1	34	+	194	199	0.9748743718592965	0.0	true
ENST00000387449.1	35	+	184	198	0.9292929292929293	0.0	true
ENST00000387459.1	45	+	369	1741	0.21194715680643308	0.0	true
