ref	pos	strand	u	d	ur	pval	passed
ENST00000387314.1	48	+	249	354	0.7033898305084746	0.0	true
ENST00000386347.1	50	+	21	467	0.044967880085653104	2.0610443248224913e-16	true
ENST00000387365.1	22	-	3	58	0.05172413793103448	0.0013053281447679016	false
ENST00000387377.1	31	+	64	314	0.20382165605095542	2.5175606660544187e-89	true
ENST00000387405.1	3	+	2	46	0.043478260869565216	0.012484460032743483	false
ENST00000387409.1	43	+	137	672	0.20386904761904762	3.846637925958891e-189	true
ENST00000387441.1	44	+	536	629	0.8521462639109698	0.0	true
ENST00000387449.1	33	+	210	256	0.8203125	0.0	true
ENST00000387449.1	34	+	241	256	0.94140625	0.0	true
ENST00000387449.1	35	+	233	253	0.9209486166007905	0.0	true
ENST00000387459.1	45	+	515	2521	0.2042840142800476	0.0	true
