ref	pos	strand	convertedBaseCount_unfiltered_uniq	unconvertedBaseCount_unfiltered_uniq	convertedBaseCount_unfiltered_multi	unconvertedBaseCount_unfiltered_multi	convertedBaseCount_filtered_uniq	unconvertedBaseCount_filtered_uniq	convertedBaseCount_filtered_multi	unconvertedBaseCount_filtered_multi	u	d	ur	pval	passed
chr1	999131	-	147	8	1	0	147	8	1	0	8	155	0.05161290322580645	5.611074019189813e-8	true
chr1	999142	-	150	6	4	0	150	6	4	0	6	156	0.038461538461538464	0.000014129427769607276	true
chr1	1046450	+	91	9	1	0	91	7	1	0	7	98	0.07142857142857142	4.097657562385279e-8	true
chr1	1048884	+	85	20	3	0	85	20	3	0	20	105	0.19047619047619047	2.1056552707643877e-29	true
chr1	1050461	+	143	3	0	0	143	3	0	0	3	146	0.02054794520547945	0.012362230048903794	false
chr1	1055549	+	272	37	1	0	272	37	1	0	37	309	0.11974110032362459	3.8339772498154946e-45	true
chr1	1056102	+	32	0	2	0	32	0	2	0	0	32	0.0	1.0	false
chr1	1232881	+	57	0	0	0	57	0	0	0	0	57	0.0	1.0	false
chr1	1273620	-	18	0	1	0	18	0	1	0	0	18	0.0	1.0	false
chr1	1293149	-	31	1	0	0	31	1	0	0	1	32	0.03125	0.09894999480358728	false
chr1	1314332	-	109	24	0	0	109	24	0	0	24	133	0.18045112781954886	2.290613171978057e-34	true
chr1	1328102	+	60	1	2	0	60	1	2	0	1	61	0.01639344262295082	0.18013928257246348	false
chr1	1328225	+	67	2	1	0	67	2	1	0	2	69	0.028985507246376812	0.021465787759085937	false
chr1	1336148	-	166	7	1	0	165	7	1	0	7	172	0.040697674418604654	1.8756021456263755e-6	true
chr1	1342389	-	60	11	0	0	60	11	0	0	11	71	0.15492957746478872	9.172443513972268e-16	true
chr1	1349093	-	61	3	2	0	61	3	2	0	3	64	0.046875	0.001234174035211096	false
chr1	1496199	+	40	2	1	0	40	2	1	0	2	42	0.047619047619047616	0.008346248438720916	false
chr1	1541674	-	132	4	5	1	132	3	5	1	3	135	0.022222222222222223	0.01001601526771673	false
chr1	1599638	-	67	6	0	0	67	6	0	0	6	73	0.0821917808219178	1.6669895164232082e-7	true
chr1	1629136	+	22	1	0	0	22	1	0	0	1	23	0.043478260869565216	0.07215428331195278	false
chr1	1778329	-	82	1	2	0	82	1	2	0	1	83	0.012048192771084338	0.2368147951248598	false
chr1	2193835	-	103	7	1	1	102	7	1	1	7	109	0.06422018348623854	8.554544007094107e-8	true
chr1	2303939	+	37	2	0	0	37	2	0	0	2	39	0.05128205128205128	0.007229422377665045	false
chr1	2404994	+	18	2	0	0	18	2	0	0	2	20	0.1	0.001931118978142548	false
chr1	2870852	+	0	5	0	1	0	5	0	1	5	5	1.0	3.630281347487347e-13	false
chr1	3650045	-	17	1	0	0	17	1	0	0	1	18	0.05555555555555555	0.05692495588418388	false
chr1	3740260	-	48	1	3	0	48	1	3	0	1	49	0.02040816326530612	0.147470838803831	false
chr1	6221386	-	177	16	0	0	177	16	0	0	16	193	0.08290155440414508	8.457091135519969e-18	true
chr1	6614086	+	20	0	0	0	20	0	0	0	0	20	0.0	1.0	false
chr1	7961763	+	77	1	2	0	77	1	2	0	1	78	0.01282051282051282	0.2242881463900248	false
chr1	8655979	-	20	1	3	0	20	1	3	0	1	21	0.047619047619047616	0.06609228877161752	false
chr1	10337114	+	22	0	0	0	22	0	0	0	0	22	0.0	1.0	false
