ref	pos	strand	convertedBaseCount_unfiltered_uniq	unconvertedBaseCount_unfiltered_uniq	convertedBaseCount_unfiltered_multi	unconvertedBaseCount_unfiltered_multi	convertedBaseCount_filtered_uniq	unconvertedBaseCount_filtered_uniq	convertedBaseCount_filtered_multi	unconvertedBaseCount_filtered_multi	u	d	ur	pval	passed
chr1	999131	-	151	10	2	0	151	10	2	0	10	161	0.062111801242236024	2.3040697272378158e-10	true
chr1	999142	-	168	6	5	0	168	6	5	0	6	174	0.034482758620689655	0.000028017380407771123	true
chr1	1046450	+	108	4	0	1	108	4	0	1	4	112	0.03571428571428571	0.0005493118461473196	true
chr1	1048884	+	114	14	1	0	114	14	1	0	14	128	0.109375	2.14630069291049e-17	true
chr1	1050461	+	132	3	1	0	132	3	1	0	3	135	0.022222222222222223	0.010356471346480016	false
chr1	1055549	+	213	42	1	0	213	42	1	0	42	255	0.16470588235294117	6.409897967174716e-57	true
chr1	1056102	+	35	3	2	0	35	2	2	0	2	37	0.05405405405405406	0.006684033809647464	false
chr1	1232881	+	47	1	1	0	47	1	1	0	1	48	0.020833333333333332	0.14636763035942127	false
chr1	1273620	-	15	2	1	0	15	2	1	0	2	17	0.11764705882352941	0.0014257878167912685	false
chr1	1293149	-	31	2	1	0	31	2	1	0	2	33	0.06060606060606061	0.005345399287675507	false
chr1	1314332	-	86	27	1	0	86	26	1	0	26	112	0.23214285714285715	4.358897108852049e-40	true
chr1	1328102	+	84	2	1	0	84	2	1	0	2	86	0.023255813953488372	0.032996856933075885	false
chr1	1328225	+	72	1	2	0	72	1	2	0	1	73	0.0136986301369863	0.21390604622918405	false
chr1	1336148	-	164	6	1	0	164	6	1	0	6	170	0.03529411764705882	0.000024591408262172288	true
chr1	1342389	-	66	11	1	0	66	11	1	0	11	77	0.14285714285714285	2.689835685497824e-15	true
chr1	1349093	-	65	4	1	0	65	4	1	0	4	69	0.057971014492753624	0.00008554549451889062	true
chr1	1496199	+	41	1	2	0	41	1	2	0	1	42	0.023809523809523808	0.12931308908678427	false
chr1	1541674	-	134	5	4	0	134	4	4	0	4	138	0.028985507246376812	0.0011955481566406723	false
chr1	1599638	-	73	6	3	0	73	6	3	0	6	79	0.0759493670886076	2.877426314171427e-7	true
chr1	1629136	+	23	1	1	0	23	1	1	0	1	24	0.041666666666666664	0.07607772532502566	false
chr1	1778329	-	75	4	1	0	75	4	1	0	4	79	0.05063291139240506	0.00014483873176859103	true
chr1	2193835	-	117	6	2	1	117	6	2	1	6	123	0.04878048780487805	3.8874587726425384e-6	true
chr1	2303939	+	34	0	2	0	34	0	2	0	0	34	0.0	1.0	false
chr1	2404994	+	32	1	1	0	32	1	1	0	1	33	0.030303030303030304	0.10309028812222965	false
chr1	2870852	+	0	14	0	1	0	13	0	1	13	13	1.0	5.323459305276714e-33	true
chr1	3650045	-	16	1	1	0	16	1	1	0	1	17	0.058823529411764705	0.0545067451382843	false
chr1	3740260	-	40	1	1	0	40	1	1	0	1	41	0.024390243902439025	0.12643772127831837	false
chr1	6221386	-	142	18	1	0	142	18	1	0	18	160	0.1125	3.6074758881649273e-22	true
chr1	6614086	+	20	1	1	0	20	1	1	0	1	21	0.047619047619047616	0.06689394444510449	false
chr1	7961763	+	73	2	1	0	73	2	1	0	2	75	0.02666666666666667	0.0256515551495508	false
chr1	8655979	-	23	1	4	0	23	1	4	0	1	24	0.041666666666666664	0.07607772532502566	false
chr1	10337114	+	29	1	1	0	29	1	1	0	1	30	0.03333333333333333	0.094175011925586	false
chr1	10458739	-	43	3	11	0	43	3	11	0	3	46	0.06521739130434782	0.0004869376504999364	true
chr1	11287233	+	36	2	1	0	36	2	1	0	2	38	0.05263157894736842	0.007040037047473633	false
chr1	11837137	+	30	1	1	0	30	1	1	0	1	31	0.03225806451612903	0.09715657382936295	false
chr1	12568052	-	37	1	1	0	37	1	1	0	1	38	0.02631578947368421	0.11775451840222492	false
chr1	15572332	-	25	2	14	0	25	2	14	0	2	27	0.07407407407407407	0.0036002615480050034	false
chr1	15734091	+	66	2	1	0	65	1	1	0	1	66	0.015151515151515152	0.19555296873933498	false
chr1	17825808	+	86	2	1	0	86	2	1	0	2	88	0.022727272727272728	0.03441075424456498	false
chr1	19156287	-	65	2	1	0	65	2	1	0	2	67	0.029850746268656716	0.02079341679830215	false
chr1	19306126	-	163	9	6	1	163	8	6	1	8	171	0.04678362573099415	1.3142559872600848e-7	true
chr1	19311960	-	209	32	2	0	209	31	2	0	31	240	0.12916666666666668	5.515355222113009e-39	true
chr1	19644378	+	28	0	1	0	28	0	1	0	0	28	0.0	1.0	false
chr1	19911654	+	22	1	4	0	22	1	4	0	1	23	0.043478260869565216	0.07302655235707715	false
chr1	20500246	-	72	0	2	0	72	0	2	0	0	72	0.0	1.0	false
chr1	20633920	+	141	3	2	0	141	3	2	0	3	144	0.020833333333333332	0.012316080495759593	false
chr1	20652451	-	127	12	3	0	126	11	3	0	11	137	0.08029197080291971	1.7784708894736147e-12	true
chr1	20652513	-	492	18	1	0	492	17	1	0	17	509	0.03339882121807466	3.006045111636102e-12	true
chr1	20744004	-	79	3	15	0	79	3	15	0	3	82	0.036585365853658534	0.0026012836255034076	false
chr1	21217549	-	50	2	2	0	50	2	2	0	2	52	0.038461538461538464	0.012881431516093974	false
chr1	21217646	-	38	1	1	0	38	1	1	0	1	39	0.02564102564102564	0.12065846734638368	false
chr1	21217834	-	135	20	1	0	135	20	1	0	20	155	0.12903225806451613	1.0673409500085125e-25	true
chr1	21575827	+	33	2	1	0	33	2	1	0	2	35	0.05714285714285714	0.005997520653790533	false
chr1	23969325	-	60	2	10	0	60	2	10	0	2	62	0.03225806451612903	0.017976966818623444	false
chr1	23976989	-	98	2	1	0	97	2	1	0	2	99	0.020202020202020204	0.0425918880394868	false
chr1	24841566	+	49	4	1	0	49	1	1	0	1	50	0.02	0.15197791719960327	false
chr1	26278420	+	35	2	2	0	35	2	2	0	2	37	0.05405405405405406	0.006684033809647464	false
chr1	26766471	+	37	2	1	0	37	2	1	0	2	39	0.05128205128205128	0.007404458524193407	false
chr1	26772557	+	24	1	1	0	24	1	1	0	1	25	0.04	0.07911885522593269	false
chr1	26826836	+	36	5	1	0	36	5	1	0	5	41	0.12195121951219512	2.623166245935425e-7	true
chr1	28742930	+	43	3	8	0	43	3	8	0	3	46	0.06521739130434782	0.0004869376504999364	true
chr1	29148869	-	74	3	1	0	74	3	1	0	3	77	0.03896103896103896	0.0021750182624781936	false
chr1	29154719	-	172	6	8	1	172	5	8	1	5	177	0.02824858757062147	0.0003305093107101991	true
chr1	29181768	-	53	1	2	0	53	1	2	0	1	54	0.018518518518518517	0.16308811656085592	false
chr1	30932317	-	46	3	1	0	46	2	1	0	2	48	0.041666666666666664	0.011053390248680172	false
chr1	31296658	-	50	2	2	0	50	2	2	0	2	52	0.038461538461538464	0.012881431516093974	false
chr1	31424844	+	71	7	1	0	71	7	1	0	7	78	0.08974358974358974	9.014097744023126e-9	true
chr1	31635482	-	89	68	0	3	89	68	0	3	68	157	0.43312101910828027	3.2712790166124443e-124	true
chr1	32075706	+	65	0	1	0	65	0	1	0	0	65	0.0	1.0	false
chr1	32333461	+	44	3	1	0	44	2	1	0	2	46	0.043478260869565216	0.010186177956784438	false
chr1	32336019	-	380	23	3	0	380	23	3	0	23	403	0.05707196029776675	4.083253638058667e-21	true
chr1	32378754	-	48	3	1	0	48	3	1	0	3	51	0.058823529411764705	0.0006598720378626182	true
chr1	32775814	-	445	56	3	0	445	52	3	0	52	497	0.10462776659959759	2.4140867143062595e-59	true
chr1	32810745	-	283	8	1	0	283	7	1	0	7	290	0.02413793103448276	0.000059208018918625496	true
chr1	33011353	-	59	3	1	0	59	3	1	0	3	62	0.04838709677419355	0.0011665225875951435	false
chr1	35192471	-	86	2	6	0	86	2	6	0	2	88	0.022727272727272728	0.03441075424456498	false
chr1	35192634	-	263	14	2	0	262	14	2	0	14	276	0.050724637681159424	9.569247321887828e-13	true
chr1	35387162	+	33	1	1	0	33	1	1	0	1	34	0.029411764705882353	0.10604250501099872	false
chr1	35419777	+	54	4	1	0	54	3	1	0	3	57	0.05263157894736842	0.0009136141098772038	true
chr1	35433950	-	52	1	1	0	52	1	1	0	1	53	0.018867924528301886	0.160324287843551	false
chr1	35434807	-	51	2	1	0	51	2	1	0	2	53	0.03773584905660377	0.013357618714564813	false
chr1	35560697	+	36	2	1	0	36	2	1	0	2	38	0.05263157894736842	0.007040037047473633	false
chr1	35718708	-	38	1	1	0	38	1	1	0	1	39	0.02564102564102564	0.12065846734638368	false
chr1	36180761	+	71	16	1	0	71	16	1	0	16	87	0.1839080459770115	1.8042394384064207e-23	true
chr1	36464298	-	53	0	1	0	53	0	1	0	0	53	0.0	1.0	false
chr1	37807919	+	140	4	1	0	140	4	1	0	4	144	0.027777777777777776	0.0013980973277390404	false
chr1	38866983	-	81	2	10	0	81	1	10	0	1	82	0.012195121951219513	0.23688894519458303	false
chr1	38991487	+	128	24	1	0	128	24	1	0	24	152	0.15789473684210525	9.562235399959073e-33	true
chr1	39424073	+	52	2	1	0	52	1	1	0	1	53	0.018867924528301886	0.160324287843551	false
chr1	40980141	+	5	11	1	0	5	11	1	0	11	16	0.6875	2.114053649824841e-24	true
