# Log analysis for: 2025-02-01T135442.535678.snakemake.log
# Generated at: 2025-02-02 03:43:29
rule_name,job_count,avg_time_min,total_time_min,threads
combine_runs,9,0.46,4.10,12
cutadapt_SE,3,3.43,10.28,35
dedup_mapping,6,13.69,82.15,18
extract_unmap_bam_final_SE,3,0.00,0.00,4
extract_unmap_bam_internal_SE,9,0.51,4.60,35
group_pileup,4,0.75,2.98,18
hisat2_3n_calling_filtered_multi,6,27.12,162.75,18
hisat2_3n_calling_filtered_unqiue,6,27.29,163.72,18
hisat2_3n_calling_unfiltered_multi,6,27.58,165.47,18
hisat2_3n_calling_unfiltered_unique,6,27.53,165.17,18
hisat2_3n_filtering,6,1.34,8.05,18
hisat2_3n_mapping_contamination_SE,3,11.03,33.08,35
hisat2_3n_mapping_genes_SE,3,10.31,30.92,35
hisat2_3n_mapping_genome_SE,3,8.11,24.32,35
hisat2_3n_sort,9,1.30,11.73,12
join_pileup,6,0.99,5.97,6
stat_mapping_number,3,0.19,0.57,35
stat_sample_background,6,0.21,1.23,18

# === Summary ===
# Total CPU Time: 14.62 hours
# Wall Time: 03:07:14 hours
