# Log analysis for: 2025-02-03T142929.269113.snakemake.log
# Generated at: 2025-02-03 16:08:27
rule_name,job_count,avg_time_min,total_time_min,threads
combine_runs,3,0.34,1.02,8
cutadapt_SE,1,2.13,2.13,36
dedup_mapping,2,10.12,20.23,18
extract_unmap_bam_final_SE,1,0.00,0.00,4
extract_unmap_bam_internal_SE,3,0.38,1.13,18
group_pileup,2,0.29,0.58,6
hisat2_3n_calling_filtered_multi,2,21.01,42.02,16
hisat2_3n_calling_filtered_unqiue,2,20.93,41.87,16
hisat2_3n_calling_unfiltered_multi,2,20.76,41.52,16
hisat2_3n_calling_unfiltered_unique,2,20.98,41.97,16
hisat2_3n_filtering,2,0.97,1.95,4
hisat2_3n_mapping_contamination_SE,1,9.17,9.17,36
hisat2_3n_mapping_genes_SE,1,10.97,10.97,36
hisat2_3n_mapping_genome_SE,1,10.37,10.37,18
hisat2_3n_sort,3,0.71,2.12,18
join_pileup,2,0.88,1.75,6
stat_mapping_number,1,0.13,0.13,4
stat_sample_background,2,0.16,0.32,2

# === Summary ===
# Total CPU Time: 3.82 hours
# Wall Time: 01:34:30 hours
